temperature,humidity,airflow,openness,Q
28.85,20.65150015,43,0.43,0
28.84,20.57597241,43,0.43,0
28.86,20.6058902,43,0.43,0
28.86,20.58481053,43,0.43,0
28.87,20.55495343,43,0.43,0
28.88,20.52505643,43,0.42,0
28.86,20.41885643,43,0.43,0
28.83,20.27710299,43,0.43,0
28.85,20.32243212,43,0.43,0
28.88,20.30885941,43,0.43,0
28.88,20.25088008,43,0.43,0
28.9,20.25137374,43,0.42,0
28.92,20.23598936,43,0.43,0
28.95,20.26702671,43,0.43,0
28.96,20.25002349,43,0.43,0
28.92,20.13564036,43,0.43,0
28.95,20.20088294,43,0.42,0
28.92,20.09075754,43,0.43,0
28.96,20.14943745,43,0.43,0
28.99,20.21211168,43,0.43,0
29.01,20.22566283,43,0.43,0
29.02,20.23509502,43,0.43,0
29.01,20.19115115,43,0.43,0
29.04,20.26194857,43,0.43,0
28.96,20.08063357,43,0.43,0
28.97,20.10852369,43,0.42,0
29,20.15256168,43,0.43,0
29.02,20.16603339,43,0.43,0
29.06,20.19563983,43,0.43,0
29.04,20.16621002,43,0.43,0
29.01,20.10886903,43,0.42,0
29.01,20.11152296,43,0.43,0
29.04,20.19546044,43,0.43,0
29.04,20.17152808,43,0.43,0
29.06,20.20895176,43,0.42,0
29.04,20.17684623,43,0.42,0
29.04,20.18482362,43,0.42,0
29.04,20.18482362,43,0.43,0
29.01,20.09825352,43,0.43,0
29.01,20.14337187,43,0.43,0
29.03,20.16213941,43,0.43,0
29.05,20.17293811,43,0.43,0
29.04,20.16886904,43,0.43,0
29.04,20.1928012,43,0.43,0
29.04,20.18748279,43,0.43,0
29.02,20.1341638,43,0.43,0
29.03,20.15948199,43,0.43,0
29.04,20.1928012,43,0.43,0
29.04,20.24067087,43,0.42,0
29,20.19235536,43,0.43,0
28.98,20.21858708,43,0.43,0
28.96,20.22090324,43,0.43,0
28.94,20.20996208,43,0.43,0
28.95,20.26702671,43,0.43,0
28.98,20.30605636,43,0.43,0
28.96,20.28444174,43,0.43,0
28.96,20.27914638,43,0.42,0
28.99,20.32350257,43,0.43,0
28.99,20.34737708,43,0.42,0
28.96,20.32151167,43,0.42,0
28.98,20.35907964,43,0.41,0
28.94,20.29987142,43,0.41,0
28.95,20.35965089,43,0.42,0
28.96,20.39301577,43,0.43,0
28.94,20.38186952,43,0.43,0
28.92,20.37335988,43,0.43,0
28.92,20.43413866,43,0.43,0
28.92,20.41563956,43,0.43,0
28.89,20.36057305,43,0.42,0
28.9,20.3701167,43,0.43,0
28.88,20.35366879,43,0.42,0
28.91,20.3770229,43,0.43,0
28.9,20.3015043,43,0.42,0
28.93,20.35910963,43,0.43,0
28.95,20.3728851,43,0.42,0
28.97,20.38401112,43,0.43,0
28.93,20.27452176,43,0.42,0
28.93,20.3062396,43,0.43,0
28.93,20.30359633,43,0.43,0
28.9,20.24609729,43,0.42,0
28.89,20.25508583,43,0.43,0
28.89,20.23662913,43,0.43,0
28.88,20.22189434,43,0.42,0
28.89,20.26035937,43,0.42,0
28.86,20.22929954,43,0.43,0
28.87,20.26510725,43,0.41,0
28.88,20.29568137,43,0.42,0
28.87,20.31251873,43,0.43,0
28.86,20.29773774,43,0.42,0
28.81,20.19773854,43,0.43,0
28.81,20.18724237,43,0.43,0
28.78,20.14317478,43,0.43,0
28.8,20.19352293,43,0.43,0
28.78,20.18770224,43,0.42,0
28.8,20.27745486,43,0.43,0
28.78,20.2400954,43,0.43,0
28.75,20.2194697,43,0.43,0
28.78,20.25581501,43,0.43,0
28.72,20.15969154,43,0.42,0
28.77,20.28035278,43,0.43,0
28.78,20.31083972,43,0.43,0
28.77,20.29868408,43,0.42,0
